2024-12-09 15:33:13 - root - INFO: - iter:[29/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.309148 loss_bce: 0.379594 loss_rst: 0.317587 loss_flow: 0.010948 loss_warp: 0.857931
2024-12-09 15:33:16 - root - INFO: - iter:[30/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.286375 loss_bce: 0.314234 loss_rst: 0.324371 loss_flow: 0.009644 loss_warp: 0.873878
2024-12-09 15:33:19 - root - INFO: - iter:[31/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.296285 loss_bce: 0.377538 loss_rst: 0.308084 loss_flow: 0.011232 loss_warp: 0.846298
2024-12-09 15:33:22 - root - INFO: - iter:[32/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.234221 loss_bce: 0.283338 loss_rst: 0.283410 loss_flow: 0.013785 loss_warp: 0.840648
2024-12-09 15:33:25 - root - INFO: - iter:[33/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.272137 loss_bce: 0.384367 loss_rst: 0.301198 loss_flow: 0.012003 loss_warp: 0.800277
2024-12-09 15:33:28 - root - INFO: - iter:[34/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.312539 loss_bce: 0.470551 loss_rst: 0.353485 loss_flow: 0.011803 loss_warp: 0.743577
2024-12-09 15:33:31 - root - INFO: - iter:[35/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.248430 loss_bce: 0.318281 loss_rst: 0.262720 loss_flow: 0.012451 loss_warp: 0.860021
2024-12-09 15:33:34 - root - INFO: - iter:[36/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.334356 loss_bce: 0.400916 loss_rst: 0.334592 loss_flow: 0.014087 loss_warp: 0.875801
2024-12-09 15:33:38 - root - INFO: - iter:[37/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.414986 loss_bce: 0.547591 loss_rst: 0.322981 loss_flow: 0.013459 loss_warp: 0.902702
2024-12-09 15:33:41 - root - INFO: - iter:[38/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.270724 loss_bce: 0.399260 loss_rst: 0.268994 loss_flow: 0.012391 loss_warp: 0.821113
2024-12-09 15:33:45 - root - INFO: - iter:[39/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.345238 loss_bce: 0.606887 loss_rst: 0.292956 loss_flow: 0.011752 loss_warp: 0.739311
2024-12-09 15:33:48 - root - INFO: - iter:[40/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.132957 loss_bce: 0.284156 loss_rst: 0.236007 loss_flow: 0.010573 loss_warp: 0.700440
2024-12-09 15:33:51 - root - INFO: - iter:[41/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.200727 loss_bce: 0.275323 loss_rst: 0.313912 loss_flow: 0.013078 loss_warp: 0.764652
2024-12-09 15:33:54 - root - INFO: - iter:[42/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.235745 loss_bce: 0.398178 loss_rst: 0.272930 loss_flow: 0.011652 loss_warp: 0.755000
