2025-01-04 17:13:55 - root - INFO: - iter:[32/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.802453 loss_bce: 0.393875 loss_rst: 0.395552 loss_flow: 0.013026
2025-01-04 17:13:56 - root - INFO: - iter:[33/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.807313 loss_bce: 0.435434 loss_rst: 0.359529 loss_flow: 0.012349
2025-01-04 17:13:58 - root - INFO: - iter:[34/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.780240 loss_bce: 0.454395 loss_rst: 0.311599 loss_flow: 0.014246
2025-01-04 17:13:59 - root - INFO: - iter:[35/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.729352 loss_bce: 0.424447 loss_rst: 0.293021 loss_flow: 0.011884
2025-01-04 17:14:00 - root - INFO: - iter:[36/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.886225 loss_bce: 0.425687 loss_rst: 0.437551 loss_flow: 0.022987
2025-01-04 17:14:01 - root - INFO: - iter:[37/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.778787 loss_bce: 0.442683 loss_rst: 0.324237 loss_flow: 0.011867
2025-01-04 17:14:02 - root - INFO: - iter:[38/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 1.028244 loss_bce: 0.584231 loss_rst: 0.427356 loss_flow: 0.016657
2025-01-04 17:14:03 - root - INFO: - iter:[39/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.706892 loss_bce: 0.367911 loss_rst: 0.327616 loss_flow: 0.011364
2025-01-04 17:14:05 - root - INFO: - iter:[40/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.983772 loss_bce: 0.595119 loss_rst: 0.375645 loss_flow: 0.013008
2025-01-04 17:14:06 - root - INFO: - iter:[41/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.749505 loss_bce: 0.356306 loss_rst: 0.376378 loss_flow: 0.016820
2025-01-04 17:14:07 - root - INFO: - iter:[42/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.889283 loss_bce: 0.484284 loss_rst: 0.392276 loss_flow: 0.012723
2025-01-04 17:14:08 - root - INFO: - iter:[43/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.624171 loss_bce: 0.275774 loss_rst: 0.331788 loss_flow: 0.016608
2025-01-04 17:14:09 - root - INFO: - iter:[44/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.857949 loss_bce: 0.454157 loss_rst: 0.390370 loss_flow: 0.013422
2025-01-04 17:14:11 - root - INFO: - iter:[45/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.807738 loss_bce: 0.318604 loss_rst: 0.473940 loss_flow: 0.015193
2025-01-04 17:14:12 - root - INFO: - iter:[46/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.870159 loss_bce: 0.404020 loss_rst: 0.449008 loss_flow: 0.017131
2025-01-04 17:14:13 - root - INFO: - iter:[47/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.610754 loss_bce: 0.298168 loss_rst: 0.297668 loss_flow: 0.014918
2025-01-04 17:14:14 - root - INFO: - iter:[48/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.687955 loss_bce: 0.299813 loss_rst: 0.374325 loss_flow: 0.013817
2025-01-04 17:14:15 - root - INFO: - iter:[49/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.899496 loss_bce: 0.490282 loss_rst: 0.395536 loss_flow: 0.013678
2025-01-04 17:14:16 - root - INFO: - iter:[50/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.722910 loss_bce: 0.333769 loss_rst: 0.373284 loss_flow: 0.015856
2025-01-04 17:14:18 - root - INFO: - iter:[51/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.766161 loss_bce: 0.442377 loss_rst: 0.311391 loss_flow: 0.012393
2025-01-04 17:14:19 - root - INFO: - iter:[52/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.796654 loss_bce: 0.384431 loss_rst: 0.398789 loss_flow: 0.013435
2025-01-04 17:14:20 - root - INFO: - iter:[53/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.795002 loss_bce: 0.400045 loss_rst: 0.382366 loss_flow: 0.012591
2025-01-04 17:14:21 - root - INFO: - iter:[54/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.700784 loss_bce: 0.325669 loss_rst: 0.363662 loss_flow: 0.011453
2025-01-04 17:14:22 - root - INFO: - iter:[55/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.911139 loss_bce: 0.455133 loss_rst: 0.436783 loss_flow: 0.019224
2025-01-04 17:14:24 - root - INFO: - iter:[56/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.642737 loss_bce: 0.308723 loss_rst: 0.317481 loss_flow: 0.016533
2025-01-04 17:14:25 - root - INFO: - iter:[57/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.958467 loss_bce: 0.456622 loss_rst: 0.484326 loss_flow: 0.017519
2025-01-04 17:14:26 - root - INFO: - iter:[58/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.702595 loss_bce: 0.295512 loss_rst: 0.392914 loss_flow: 0.014169
