2024-12-07 16:46:51 - root - INFO: - iter:[29/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 1.053241 loss_bce: 0.377649 loss_rst: 0.665954 loss_flow: 0.004184 loss_conf: 0.005454
2024-12-07 16:46:54 - root - INFO: - iter:[30/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 1.018572 loss_bce: 0.325353 loss_rst: 0.685220 loss_flow: 0.003434 loss_conf: 0.004564
2024-12-07 16:46:57 - root - INFO: - iter:[31/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 1.021841 loss_bce: 0.340485 loss_rst: 0.673909 loss_flow: 0.003774 loss_conf: 0.003674
2024-12-07 16:46:59 - root - INFO: - iter:[32/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.972329 loss_bce: 0.273929 loss_rst: 0.691857 loss_flow: 0.004190 loss_conf: 0.002352
2024-12-07 16:47:03 - root - INFO: - iter:[33/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 1.065990 loss_bce: 0.366036 loss_rst: 0.692358 loss_flow: 0.005797 loss_conf: 0.001800
2024-12-07 16:47:06 - root - INFO: - iter:[34/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 1.155797 loss_bce: 0.458880 loss_rst: 0.683870 loss_flow: 0.010845 loss_conf: 0.002202
2024-12-07 16:47:09 - root - INFO: - iter:[35/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.923412 loss_bce: 0.274937 loss_rst: 0.642048 loss_flow: 0.003145 loss_conf: 0.003282
2024-12-07 16:47:12 - root - INFO: - iter:[36/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 1.078769 loss_bce: 0.379000 loss_rst: 0.687005 loss_flow: 0.008291 loss_conf: 0.004473
2024-12-07 16:47:15 - root - INFO: - iter:[37/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 1.168594 loss_bce: 0.517871 loss_rst: 0.638998 loss_flow: 0.003927 loss_conf: 0.007799
2024-12-07 16:47:18 - root - INFO: - iter:[38/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 1.039109 loss_bce: 0.387594 loss_rst: 0.638761 loss_flow: 0.007630 loss_conf: 0.005124
